lcd_id,lcd_version,state_id,last_updated
34563,51,50,2023-05-01 14:03:09.140000000
34563,51,51,2023-05-01 14:03:09.140000000
34564,83,2,2024-05-17 13:26:57.183000000
34564,83,3,2024-05-17 13:26:57.183000000
34564,83,12,2024-05-17 13:26:57.183000000
34564,83,14,2024-05-17 13:26:57.183000000
34564,83,19,2024-05-17 13:26:57.183000000
34564,83,20,2024-05-17 13:26:57.183000000
34564,83,22,2024-05-17 13:26:57.183000000
34564,83,23,2024-05-17 13:26:57.183000000
34564,83,31,2024-05-17 13:26:57.183000000
34564,83,34,2024-05-17 13:26:57.183000000
34564,83,39,2024-05-17 13:26:57.183000000
34564,83,42,2024-05-17 13:26:57.183000000
34564,83,43,2024-05-17 13:26:57.183000000
34564,83,48,2024-05-17 13:26:57.183000000
34564,83,50,2024-05-17 13:26:57.183000000
34564,83,51,2024-05-17 13:26:57.183000000
34565,40,2,2023-11-21 14:58:50.400000000
34565,40,3,2023-11-21 14:58:50.400000000
34565,40,12,2023-11-21 14:58:50.400000000
34565,40,14,2023-11-21 14:58:50.400000000
34565,40,19,2023-11-21 14:58:50.400000000
34565,40,20,2023-11-21 14:58:50.400000000
34565,40,22,2023-11-21 14:58:50.400000000
34565,40,23,2023-11-21 14:58:50.400000000
34565,40,31,2023-11-21 14:58:50.400000000
34565,40,34,2023-11-21 14:58:50.400000000
34565,40,39,2023-11-21 14:58:50.400000000
34565,40,42,2023-11-21 14:58:50.400000000
34565,40,43,2023-11-21 14:58:50.400000000
34565,40,48,2023-11-21 14:58:50.400000000
34565,40,50,2023-11-21 14:58:50.400000000
34565,40,51,2023-11-21 14:58:50.400000000
34567,43,2,2024-02-23 13:43:02.167000000
34567,43,3,2024-02-23 13:43:02.167000000
34567,43,12,2024-02-23 13:43:02.167000000
34567,43,14,2024-02-23 13:43:02.167000000
34567,43,19,2024-02-23 13:43:02.167000000
34567,43,20,2024-02-23 13:43:02.167000000
34567,43,22,2024-02-23 13:43:02.167000000
34567,43,23,2024-02-23 13:43:02.167000000
34567,43,31,2024-02-23 13:43:02.167000000
34567,43,34,2024-02-23 13:43:02.167000000
34567,43,39,2024-02-23 13:43:02.167000000
34567,43,42,2024-02-23 13:43:02.167000000
34567,43,43,2024-02-23 13:43:02.167000000
34567,43,48,2024-02-23 13:43:02.167000000
34567,43,50,2024-02-23 13:43:02.167000000
34567,43,51,2024-02-23 13:43:02.167000000
35132,54,2,2025-04-09 15:19:57.993000000
35132,54,3,2025-04-09 15:19:57.993000000
35132,54,12,2025-04-09 15:19:57.993000000
35132,54,14,2025-04-09 15:19:57.993000000
35132,54,19,2025-04-09 15:19:57.993000000
35132,54,20,2025-04-09 15:19:57.993000000
35132,54,22,2025-04-09 15:19:57.993000000
35132,54,23,2025-04-09 15:19:57.993000000
35132,54,31,2025-04-09 15:19:57.993000000
35132,54,34,2025-04-09 15:19:57.993000000
35132,54,39,2025-04-09 15:19:57.993000000
35132,54,42,2025-04-09 15:19:57.993000000
35132,54,43,2025-04-09 15:19:57.993000000
35132,54,48,2025-04-09 15:19:57.993000000
35132,54,50,2025-04-09 15:19:57.993000000
35132,54,51,2025-04-09 15:19:57.993000000
40340,3,17,2026-01-22 17:43:46.420000000
40342,2,17,2026-01-22 19:15:31.203000000
